case_id,case_family,true_continuation,artifact_similarity,task_progression,temporal_proximity,behavioral_similarity,independent_corroboration,evidence_current,baseline_linked,baseline_score,false_positive,false_negative,counterexample
RM-0019,benign_shared_template,False,0.977,0.717,0.231,0.713,0.149,True,True,0.6606,True,False,True
RM-0020,ambiguous,False,0.857,0.531,0.857,0.694,0.391,True,True,0.7093,True,False,True
RM-0021,benign_same_domain,False,0.753,0.714,0.318,0.46,0.24,False,False,0.573,False,False,False
RM-0022,benign_shared_template,False,0.854,0.399,0.375,0.492,0.194,False,False,0.5419,False,False,False
RM-0023,benign_same_domain,False,0.646,0.736,0.414,0.739,0.215,True,True,0.5958,True,False,True
RM-0024,benign_shared_template,False,0.779,0.757,0.42,0.583,0.054,True,True,0.6092,True,False,True
RM-0025,benign_same_domain,False,0.383,0.634,0.266,0.452,0.189,True,False,0.4124,False,False,False
RM-0026,true_continuation,True,0.811,0.76,0.571,0.694,0.499,True,True,0.708,False,False,False
RM-0027,benign_shared_template,False,0.825,0.617,0.394,0.409,0.105,True,False,0.5673,False,False,False
RM-0028,benign_shared_template,False,0.906,0.328,0.322,0.574,0.055,True,False,0.5306,False,False,False
RM-0029,benign_same_domain,False,0.603,0.588,0.22,0.714,0.01,True,False,0.4867,False,False,False
RM-0030,ambiguous,False,0.575,0.889,0.566,0.608,0.1,False,False,0.6059,False,False,False
RM-0031,benign_same_domain,False,0.454,0.519,0.321,0.496,0.022,True,False,0.4083,False,False,False
RM-0032,ambiguous,False,0.889,0.485,0.312,0.65,0.292,True,True,0.595,True,False,True
RM-0033,benign_same_domain,False,0.735,0.369,0.171,0.756,0.205,True,False,0.4956,False,False,False
RM-0034,ambiguous,False,0.688,0.669,0.869,0.458,0.248,True,True,0.6398,True,False,True
RM-0035,benign_shared_template,False,0.985,0.382,0.227,0.644,0.141,True,False,0.5717,False,False,False
RM-0036,benign_same_domain,False,0.501,0.728,0.141,0.628,0.193,True,False,0.4777,False,False,False
RM-0037,benign_same_domain,False,0.818,0.288,0.556,0.312,0.171,True,False,0.5081,False,False,False
RM-0038,ambiguous,False,0.585,0.759,0.321,0.565,0.347,True,False,0.5526,False,False,False
RM-0039,ambiguous,False,0.803,0.752,0.373,0.744,0.153,True,True,0.6401,True,False,True
RM-0040,benign_same_domain,False,0.507,0.579,0.177,0.565,0.221,False,False,0.4444,False,False,False
RM-0041,ambiguous,False,0.644,0.717,0.695,0.603,0.25,True,True,0.6256,True,False,True
RM-0042,benign_same_domain,False,0.622,0.442,0.73,0.566,0.129,True,False,0.5411,False,False,False
RM-0043,benign_same_domain,False,0.742,0.543,0.239,0.725,0.209,True,False,0.548,False,False,False
RM-0044,ambiguous,False,0.83,0.785,0.522,0.412,0.321,True,True,0.6543,True,False,True
RM-0045,ambiguous,False,0.615,0.549,0.302,0.477,0.31,False,False,0.493,False,False,False
RM-0046,ambiguous,False,0.62,0.576,0.849,0.887,0.277,True,True,0.6537,True,False,True
RM-0047,true_continuation,True,0.707,0.808,0.608,0.716,0.521,False,False,0.6961,False,True,True
RM-0048,true_continuation,True,0.966,0.842,0.628,0.711,0.452,True,True,0.7883,False,False,False
RM-0049,benign_same_domain,False,0.761,0.602,0.255,0.432,0.045,True,False,0.5141,False,False,False
RM-0050,ambiguous,False,0.796,0.502,0.591,0.588,0.443,False,False,0.6241,False,False,False
RM-0051,ambiguous,False,0.68,0.526,0.45,0.513,0.269,True,False,0.5372,False,False,False
RM-0052,true_continuation,True,1.0,0.842,0.796,0.706,0.736,False,False,0.8578,False,True,True
RM-0053,benign_shared_template,False,0.744,0.634,0.457,0.355,0.076,True,False,0.5447,False,False,False
RM-0054,ambiguous,False,0.576,0.678,0.312,0.811,0.386,True,False,0.5669,False,False,False
RM-0055,ambiguous,False,0.836,0.894,0.803,0.596,0.127,True,True,0.7395,True,False,True
RM-0056,benign_same_domain,False,0.815,0.665,0.202,0.538,0.09,True,False,0.5574,False,False,False
RM-0057,true_continuation,True,0.625,0.626,0.985,0.899,0.605,True,True,0.7264,False,False,False
RM-0058,ambiguous,False,0.845,0.835,0.344,0.669,0.386,False,False,0.6819,False,False,False
RM-0059,benign_same_domain,False,0.694,0.353,0.248,0.381,0.222,True,False,0.4409,False,False,False
RM-0060,ambiguous,False,0.773,0.625,0.825,0.72,0.306,True,True,0.6927,True,False,True
RM-0061,true_continuation,True,0.808,0.736,0.811,0.871,0.668,True,True,0.7861,False,False,False
RM-0062,ambiguous,False,0.886,0.791,0.278,0.621,0.364,True,True,0.6645,True,False,True
RM-0063,benign_same_domain,False,0.591,0.489,0.336,0.647,0.176,True,False,0.487,False,False,False
RM-0064,ambiguous,False,0.799,0.875,0.86,0.62,0.115,True,True,0.7348,True,False,True
RM-0065,true_continuation,True,0.616,0.706,0.909,0.933,0.963,True,True,0.7694,False,False,False
RM-0066,benign_same_domain,False,0.675,0.51,0.761,0.352,0.173,False,False,0.5555,False,False,False
RM-0067,ambiguous,False,0.629,0.825,0.442,0.512,0.063,False,False,0.5694,False,False,False
RM-0068,benign_same_domain,False,0.848,0.66,0.211,0.401,0.139,True,False,0.5547,False,False,False
RM-0069,benign_same_domain,False,0.693,0.388,0.352,0.615,0.137,True,False,0.4919,False,False,False
RM-0070,ambiguous,False,0.616,0.577,0.391,0.745,0.278,True,False,0.5504,False,False,False
RM-0071,benign_shared_template,False,0.959,0.545,0.596,0.762,0.113,True,True,0.6821,True,False,True
RM-0072,ambiguous,False,0.727,0.513,0.525,0.465,0.352,True,False,0.5651,False,False,False
RM-0073,benign_shared_template,False,0.713,0.348,0.462,0.707,0.117,True,False,0.5198,False,False,False
RM-0074,true_continuation,True,0.884,0.652,0.519,0.637,0.643,True,True,0.7039,False,False,False
RM-0075,ambiguous,False,0.776,0.509,0.747,0.897,0.122,True,True,0.6582,True,False,True
RM-0076,benign_shared_template,False,0.753,0.598,0.649,0.835,0.114,True,True,0.6447,True,False,True
RM-0077,benign_same_domain,False,0.66,0.405,0.3,0.667,0.029,False,False,0.4719,False,False,False
RM-0078,benign_same_domain,False,0.52,0.602,0.58,0.307,0.008,False,False,0.4695,False,False,False
RM-0079,benign_same_domain,False,0.847,0.271,0.473,0.782,0.116,True,False,0.5592,False,False,False
RM-0080,true_continuation,True,0.68,0.628,0.922,0.605,0.88,True,True,0.7206,False,False,False
RM-0081,benign_shared_template,False,0.905,0.513,0.662,0.831,0.173,True,True,0.6836,True,False,True
RM-0082,true_continuation,True,0.997,0.982,0.758,0.823,0.556,True,True,0.8819,False,False,False
RM-0083,benign_same_domain,False,0.362,0.725,0.58,0.727,0.015,False,False,0.5048,False,False,False
RM-0084,benign_shared_template,False,0.807,0.8,0.172,0.544,0.098,True,True,0.5833,True,False,True
RM-0085,true_continuation,True,0.661,0.604,0.869,0.598,0.811,True,True,0.6909,False,False,False
RM-0086,ambiguous,False,0.856,0.506,0.336,0.461,0.305,False,False,0.568,False,False,False
RM-0087,benign_shared_template,False,1.0,0.646,0.584,0.798,0.116,False,False,0.7235,False,False,False
RM-0088,true_continuation,True,0.659,0.749,0.803,0.644,0.839,True,True,0.7224,False,False,False
RM-0089,benign_same_domain,False,0.593,0.51,0.575,0.388,0.113,True,False,0.4931,False,False,False
RM-0090,true_continuation,True,0.923,0.783,0.759,0.798,0.496,True,True,0.7997,False,False,False
RM-0091,true_continuation,True,0.607,0.893,0.892,0.976,0.746,True,True,0.7925,False,False,False
RM-0092,ambiguous,False,0.702,0.59,0.511,0.512,0.428,True,True,0.5867,True,False,True
RM-0093,benign_shared_template,False,0.962,0.481,0.195,0.546,0.086,False,False,0.5627,False,False,False
RM-0094,true_continuation,True,0.989,0.711,0.821,0.949,0.802,False,False,0.8677,False,True,True
RM-0095,benign_shared_template,False,0.824,0.616,0.595,0.563,0.083,True,True,0.6222,True,False,True
RM-0096,ambiguous,False,0.595,0.506,0.853,0.601,0.446,True,True,0.606,True,False,True
RM-0097,true_continuation,True,0.75,0.865,0.472,0.561,0.451,True,True,0.6712,False,False,False
RM-0098,benign_shared_template,False,0.847,0.725,0.321,0.57,0.021,True,True,0.6017,True,False,True
RM-0099,benign_shared_template,False,0.915,0.694,0.264,0.498,0.133,True,True,0.6082,True,False,True
RM-0100,benign_same_domain,False,0.474,0.283,0.24,0.599,0.25,False,False,0.3811,False,False,False
RM-0101,true_continuation,True,0.694,0.93,0.869,0.651,0.983,False,False,0.805,False,True,True
RM-0102,true_continuation,True,0.632,0.624,0.892,0.911,0.602,True,True,0.7129,False,False,False
RM-0103,benign_same_domain,False,0.38,0.399,0.702,0.345,0.198,True,False,0.4194,False,False,False
RM-0104,benign_same_domain,False,0.775,0.719,0.137,0.643,0.087,True,False,0.5594,False,False,False
RM-0105,benign_same_domain,False,0.448,0.707,0.164,0.695,0.039,True,False,0.4527,False,False,False
RM-0106,ambiguous,False,0.653,0.817,0.721,0.478,0.29,False,False,0.6438,False,False,False
RM-0107,benign_shared_template,False,0.815,0.746,0.174,0.464,0.01,False,False,0.5534,False,False,False
RM-0108,benign_shared_template,False,0.837,0.46,0.393,0.608,0.077,True,False,0.5585,False,False,False
RM-0109,benign_same_domain,False,0.599,0.414,0.553,0.448,0.099,False,False,0.4752,False,False,False
RM-0110,benign_same_domain,False,0.465,0.412,0.794,0.498,0.218,True,False,0.4914,False,False,False
RM-0111,ambiguous,False,0.561,0.796,0.405,0.83,0.083,False,False,0.5792,False,False,False
RM-0112,ambiguous,False,0.816,0.621,0.267,0.79,0.425,True,True,0.6276,True,False,True
RM-0113,benign_same_domain,False,0.639,0.618,0.124,0.467,0.136,True,False,0.4669,False,False,False
RM-0114,true_continuation,True,0.739,0.975,0.93,0.925,0.521,True,True,0.8343,False,False,False
RM-0115,benign_same_domain,False,0.805,0.639,0.401,0.385,0.25,True,False,0.5781,False,False,False
RM-0116,true_continuation,True,0.698,0.997,0.801,0.738,0.637,True,True,0.7878,False,False,False
RM-0117,true_continuation,True,0.722,0.623,0.471,0.643,0.468,True,True,0.6166,False,False,False
RM-0118,benign_same_domain,False,0.512,0.714,0.183,0.756,0.016,False,False,0.4858,False,False,False
RM-0119,true_continuation,True,0.899,0.894,0.519,0.684,0.503,True,True,0.7597,False,False,False
RM-0120,ambiguous,False,0.732,0.897,0.505,0.717,0.248,True,True,0.6802,True,False,True
RM-0121,ambiguous,False,0.81,0.629,0.719,0.878,0.322,False,False,0.7109,False,False,False
RM-0122,benign_same_domain,False,0.785,0.291,0.777,0.612,0.192,True,True,0.5815,True,False,True
RM-0123,benign_same_domain,False,0.736,0.674,0.168,0.44,0.091,True,False,0.5129,False,False,False
RM-0124,true_continuation,True,0.869,0.71,0.703,0.827,0.946,True,True,0.8028,False,False,False
RM-0125,benign_same_domain,False,0.394,0.639,0.777,0.538,0.234,True,False,0.5259,False,False,False
RM-0126,ambiguous,False,0.486,0.642,0.543,0.674,0.187,True,False,0.5301,False,False,False
RM-0127,benign_same_domain,False,0.393,0.481,0.402,0.749,0.116,True,False,0.4379,False,False,False
RM-0128,benign_shared_template,False,0.883,0.531,0.212,0.663,0.182,False,False,0.5768,False,False,False
RM-0129,true_continuation,True,0.891,0.75,0.799,0.689,0.605,True,True,0.7837,False,False,False
RM-0130,benign_same_domain,False,0.717,0.472,0.574,0.377,0.094,True,False,0.5226,False,False,False
RM-0131,true_continuation,True,0.717,0.75,0.887,0.799,0.931,True,True,0.7884,False,False,False
RM-0132,benign_same_domain,False,0.451,0.403,0.378,0.633,0.069,True,False,0.4136,False,False,False
RM-0133,benign_shared_template,False,0.821,0.452,0.235,0.632,0.077,True,False,0.5261,False,False,False
RM-0134,benign_same_domain,False,0.443,0.339,0.482,0.796,0.013,False,False,0.4315,False,False,False
RM-0135,benign_shared_template,False,0.822,0.44,0.233,0.69,0.09,True,False,0.5326,False,False,False
RM-0136,ambiguous,False,0.833,0.796,0.879,0.505,0.136,True,True,0.7168,True,False,True
RM-0137,ambiguous,False,0.634,0.692,0.673,0.83,0.305,True,True,0.6495,True,False,True
RM-0138,benign_same_domain,False,0.473,0.266,0.334,0.799,0.077,True,False,0.4043,False,False,False
RM-0139,benign_same_domain,False,0.675,0.322,0.198,0.352,0.043,True,False,0.396,False,False,False
RM-0140,true_continuation,True,0.702,0.702,0.819,0.808,0.587,True,True,0.7264,False,False,False
RM-0141,benign_same_domain,False,0.766,0.54,0.159,0.638,0.146,True,False,0.5226,False,False,False
RM-0142,true_continuation,True,0.726,0.618,0.886,0.84,0.632,True,True,0.7354,False,False,False
RM-0143,true_continuation,True,0.993,0.884,0.499,0.626,0.492,True,True,0.7764,False,False,False
RM-0144,benign_same_domain,False,0.377,0.48,0.664,0.309,0.113,True,False,0.4175,False,False,False
RM-0145,ambiguous,False,0.683,0.71,0.609,0.633,0.367,True,True,0.6376,True,False,True
RM-0146,ambiguous,False,0.622,0.505,0.382,0.621,0.269,True,False,0.5153,False,False,False
RM-0147,benign_shared_template,False,0.708,0.44,0.625,0.46,0.17,False,False,0.5402,False,False,False
RM-0148,true_continuation,True,0.722,0.674,0.845,0.607,0.877,True,True,0.732,False,False,False
RM-0149,benign_shared_template,False,0.781,0.379,0.213,0.602,0.156,True,False,0.4947,False,False,False
RM-0150,benign_same_domain,False,0.668,0.586,0.161,0.419,0.039,True,False,0.4593,False,False,False
RM-0151,benign_shared_template,False,0.86,0.308,0.478,0.787,0.056,True,False,0.5681,False,False,False
RM-0152,ambiguous,False,0.631,0.788,0.876,0.803,0.391,True,True,0.7129,True,False,True
RM-0153,benign_shared_template,False,0.833,0.379,0.418,0.686,0.014,True,False,0.5469,False,False,False
RM-0154,ambiguous,False,0.601,0.725,0.861,0.569,0.093,False,False,0.6223,False,False,False
RM-0155,true_continuation,True,0.67,0.717,0.781,0.596,0.524,True,True,0.6763,False,False,False
RM-0156,benign_shared_template,False,0.964,0.578,0.227,0.463,0.169,True,True,0.5891,True,False,True
RM-0157,true_continuation,True,0.631,0.656,0.627,0.638,0.508,True,True,0.625,False,False,False
RM-0158,ambiguous,False,0.801,0.712,0.71,0.582,0.19,True,True,0.6715,True,False,True
RM-0159,benign_shared_template,False,0.706,0.724,0.547,0.525,0.187,True,True,0.6045,True,False,True
RM-0160,benign_same_domain,False,0.713,0.4,0.355,0.757,0.076,True,False,0.5159,False,False,False
RM-0161,benign_same_domain,False,0.553,0.59,0.732,0.561,0.07,False,False,0.5469,False,False,False
RM-0162,ambiguous,False,0.753,0.593,0.504,0.527,0.095,True,False,0.5723,False,False,False
RM-0163,ambiguous,False,0.749,0.546,0.67,0.808,0.138,True,True,0.6332,True,False,True
RM-0164,benign_shared_template,False,0.954,0.393,0.46,0.582,0.093,False,False,0.5923,False,False,False
RM-0165,benign_same_domain,False,0.612,0.628,0.464,0.581,0.149,True,False,0.5386,False,False,False
RM-0166,benign_same_domain,False,0.758,0.337,0.42,0.571,0.051,True,False,0.4992,False,False,False
RM-0167,true_continuation,True,0.978,0.662,0.993,0.603,0.868,True,True,0.8414,False,False,False
RM-0168,ambiguous,False,0.519,0.844,0.893,0.869,0.417,True,True,0.7031,True,False,True
RM-0169,benign_same_domain,False,0.558,0.662,0.553,0.368,0.122,True,False,0.5119,False,False,False
RM-0170,benign_same_domain,False,0.501,0.275,0.297,0.715,0.197,True,False,0.4096,False,False,False
RM-0171,ambiguous,False,0.586,0.644,0.69,0.773,0.415,False,False,0.6277,False,False,False
RM-0172,benign_same_domain,False,0.366,0.412,0.411,0.565,0.089,True,False,0.3853,False,False,False
RM-0173,benign_same_domain,False,0.782,0.658,0.415,0.668,0.2,True,True,0.612,True,False,True
RM-0174,true_continuation,True,0.994,0.691,0.895,0.715,0.827,True,True,0.8477,False,False,False
RM-0175,benign_same_domain,False,0.403,0.526,0.11,0.739,0.195,True,False,0.406,False,False,False
RM-0176,benign_shared_template,False,0.823,0.398,0.521,0.468,0.024,True,False,0.537,False,False,False
RM-0177,benign_same_domain,False,0.388,0.727,0.411,0.769,0.226,True,False,0.5106,False,False,False
RM-0178,benign_shared_template,False,0.83,0.569,0.595,0.808,0.13,True,True,0.652,True,False,True
RM-0179,benign_shared_template,False,0.738,0.575,0.532,0.619,0.053,False,False,0.5766,False,False,False
RM-0180,benign_same_domain,False,0.682,0.709,0.274,0.351,0.155,True,False,0.516,False,False,False
RM-0181,benign_same_domain,False,0.817,0.672,0.353,0.45,0.096,True,False,0.5752,False,False,False
RM-0182,benign_shared_template,False,0.71,0.53,0.337,0.536,0.047,False,False,0.509,False,False,False
RM-0183,ambiguous,False,0.695,0.457,0.307,0.639,0.153,True,False,0.506,False,False,False
RM-0184,benign_shared_template,False,0.935,0.528,0.334,0.653,0.13,True,True,0.6092,True,False,True
RM-0185,ambiguous,False,0.777,0.795,0.655,0.632,0.268,True,True,0.6882,True,False,True
RM-0186,benign_shared_template,False,0.971,0.334,0.537,0.712,0.123,True,True,0.6189,True,False,True
RM-0187,ambiguous,False,0.765,0.853,0.325,0.839,0.238,False,False,0.6646,False,False,False
RM-0188,ambiguous,False,0.583,0.661,0.778,0.837,0.268,True,True,0.6409,True,False,True
RM-0189,ambiguous,False,0.818,0.813,0.496,0.591,0.336,True,True,0.6789,True,False,True
RM-0190,ambiguous,False,0.87,0.474,0.407,0.667,0.307,True,True,0.6069,True,False,True
RM-0191,benign_shared_template,False,0.702,0.637,0.131,0.805,0.195,False,False,0.5473,False,False,False
RM-0192,benign_shared_template,False,0.735,0.525,0.246,0.534,0.093,True,False,0.5042,False,False,False
RM-0193,benign_same_domain,False,0.414,0.746,0.329,0.747,0.202,True,False,0.5038,False,False,False
RM-0194,benign_same_domain,False,0.517,0.617,0.226,0.349,0.218,True,False,0.4352,False,False,False
RM-0195,ambiguous,False,0.595,0.539,0.505,0.537,0.404,True,False,0.5381,False,False,False
RM-0196,ambiguous,False,0.517,0.679,0.629,0.69,0.173,True,False,0.5659,False,False,False
RM-0197,true_continuation,True,0.906,0.797,0.613,0.882,0.451,True,True,0.7782,False,False,False
RM-0198,benign_same_domain,False,0.727,0.508,0.733,0.55,0.075,True,True,0.5855,True,False,True
RM-0199,benign_shared_template,False,0.942,0.76,0.657,0.428,0.012,True,True,0.6821,True,False,True
RM-0200,true_continuation,True,0.677,0.607,0.989,0.781,0.602,False,False,0.7234,False,True,True
RM-0201,ambiguous,False,0.608,0.621,0.642,0.644,0.183,True,False,0.5798,False,False,False
RM-0202,benign_same_domain,False,0.637,0.448,0.722,0.653,0.247,True,False,0.5702,False,False,False
RM-0203,true_continuation,True,0.74,0.926,0.686,0.69,0.453,True,True,0.7392,False,False,False
RM-0204,benign_shared_template,False,0.906,0.635,0.284,0.843,0.134,True,True,0.643,True,False,True
RM-0205,benign_same_domain,False,0.722,0.525,0.756,0.539,0.065,False,False,0.5895,False,False,False
RM-0206,true_continuation,True,0.669,0.653,0.592,0.8,0.62,True,True,0.6647,False,False,False
RM-0207,benign_same_domain,False,0.66,0.67,0.392,0.462,0.039,False,False,0.5243,False,False,False
RM-0208,ambiguous,False,0.792,0.727,0.866,0.499,0.264,True,True,0.6959,True,False,True
RM-0209,benign_shared_template,False,0.863,0.399,0.245,0.425,0.098,True,False,0.5026,False,False,False
RM-0210,ambiguous,False,0.516,0.883,0.544,0.43,0.119,True,False,0.5574,False,False,False
RM-0211,benign_shared_template,False,0.941,0.389,0.56,0.408,0.077,True,False,0.5789,False,False,False
RM-0212,true_continuation,True,0.883,0.784,0.968,0.786,0.722,True,True,0.8449,False,False,False
RM-0213,benign_shared_template,False,0.702,0.789,0.466,0.608,0.036,True,True,0.6006,True,False,True
RM-0214,ambiguous,False,0.475,0.854,0.871,0.664,0.414,False,False,0.6576,False,False,False
RM-0215,benign_shared_template,False,0.863,0.442,0.369,0.638,0.076,True,False,0.5628,False,False,False
RM-0216,ambiguous,False,0.831,0.482,0.836,0.651,0.105,True,True,0.6503,True,False,True
RM-0217,benign_same_domain,False,0.372,0.351,0.646,0.507,0.189,True,False,0.4169,False,False,False
RM-0218,benign_shared_template,False,0.803,0.354,0.143,0.507,0.108,True,False,0.4655,False,False,False
RM-0219,benign_same_domain,False,0.38,0.421,0.578,0.758,0.135,True,False,0.4539,False,False,False
RM-0220,benign_shared_template,False,0.742,0.354,0.572,0.577,0.153,True,False,0.5363,False,False,False
RM-0221,benign_shared_template,False,0.893,0.542,0.588,0.669,0.039,True,True,0.6371,True,False,True
RM-0222,true_continuation,True,0.907,0.808,0.492,0.978,0.973,True,True,0.8251,False,False,False
RM-0223,benign_shared_template,False,0.856,0.752,0.144,0.684,0.003,True,True,0.5935,True,False,True
RM-0224,benign_shared_template,False,0.933,0.342,0.137,0.603,0.181,True,False,0.5265,False,False,False
RM-0225,true_continuation,True,0.915,0.645,0.903,0.577,0.797,False,False,0.7889,False,True,True
RM-0226,true_continuation,True,0.734,0.965,0.578,0.923,0.719,False,False,0.7863,False,True,True
RM-0227,benign_shared_template,False,0.82,0.7,0.292,0.832,0.184,True,True,0.6342,True,False,True
RM-0228,benign_same_domain,False,0.482,0.299,0.245,0.518,0.106,False,False,0.3629,False,False,False
RM-0229,ambiguous,False,0.676,0.682,0.333,0.576,0.153,True,False,0.5494,False,False,False
RM-0230,benign_same_domain,False,0.439,0.268,0.788,0.598,0.102,False,False,0.4493,False,False,False
RM-0231,benign_shared_template,False,0.803,0.675,0.191,0.409,0.007,True,False,0.5274,False,False,False
RM-0232,true_continuation,True,0.861,0.653,0.741,0.63,0.929,True,True,0.7639,False,False,False
RM-0233,true_continuation,True,0.991,0.915,0.558,0.906,0.526,True,True,0.8364,False,False,False
RM-0234,benign_shared_template,False,0.984,0.785,0.33,0.709,0.067,True,True,0.6883,True,False,True
RM-0235,true_continuation,True,0.698,0.601,0.789,0.988,0.591,True,True,0.721,False,False,False
RM-0236,ambiguous,False,0.619,0.868,0.453,0.622,0.119,True,True,0.5993,True,False,True
RM-0237,benign_same_domain,False,0.663,0.729,0.14,0.352,0.058,True,False,0.4807,False,False,False
RM-0238,benign_shared_template,False,0.937,0.332,0.129,0.379,0.002,True,False,0.4747,False,False,False
RM-0239,benign_shared_template,False,0.815,0.552,0.193,0.492,0.04,True,False,0.5172,False,False,False
RM-0240,ambiguous,False,0.825,0.636,0.321,0.581,0.205,False,False,0.5928,False,False,False
RM-0241,ambiguous,False,0.558,0.712,0.673,0.802,0.169,False,False,0.6109,False,False,False
RM-0242,benign_same_domain,False,0.711,0.648,0.142,0.583,0.084,False,False,0.5128,False,False,False
RM-0243,benign_same_domain,False,0.487,0.388,0.147,0.669,0.074,True,False,0.3862,False,False,False
RM-0244,true_continuation,True,0.914,0.927,0.657,0.76,0.907,True,True,0.8486,False,False,False
RM-0245,benign_shared_template,False,0.981,0.399,0.17,0.419,0.135,True,False,0.5321,False,False,False
RM-0246,true_continuation,True,0.724,0.682,0.502,0.817,0.792,True,True,0.6938,False,False,False
RM-0247,benign_shared_template,False,0.996,0.726,0.123,0.836,0.002,True,True,0.6523,True,False,True
RM-0248,benign_shared_template,False,0.748,0.725,0.117,0.628,0.128,False,False,0.5501,False,False,False
RM-0249,true_continuation,True,0.828,0.796,0.535,0.733,0.765,True,True,0.748,False,False,False
RM-0250,true_continuation,True,0.87,0.695,0.907,0.789,0.629,True,True,0.7992,False,False,False
RM-0251,true_continuation,True,0.732,0.884,0.86,0.984,0.71,True,True,0.8246,False,False,False
RM-0252,benign_same_domain,False,0.453,0.744,0.136,0.591,0.196,False,False,0.4594,False,False,False
RM-0253,benign_same_domain,False,0.5,0.436,0.466,0.388,0.239,True,False,0.4367,False,False,False
RM-0254,ambiguous,False,0.847,0.526,0.574,0.562,0.095,True,True,0.6057,True,False,True
RM-0255,ambiguous,False,0.654,0.796,0.593,0.485,0.15,False,False,0.603,False,False,False
RM-0256,true_continuation,True,0.921,0.99,0.806,0.782,0.797,False,False,0.885,False,True,True
RM-0257,benign_shared_template,False,0.953,0.387,0.185,0.492,0.184,True,False,0.5375,False,False,False
RM-0258,true_continuation,True,0.977,0.661,0.88,0.752,0.567,True,True,0.8112,False,False,False
RM-0259,true_continuation,True,0.967,0.614,0.703,0.67,0.915,True,True,0.788,False,False,False
RM-0260,benign_shared_template,False,0.938,0.478,0.139,0.522,0.171,True,False,0.5488,False,False,False
RM-0261,benign_shared_template,False,0.901,0.675,0.489,0.563,0.015,True,True,0.6367,True,False,True
RM-0262,ambiguous,False,0.727,0.788,0.669,0.477,0.348,True,True,0.6583,True,False,True
RM-0263,ambiguous,False,0.878,0.858,0.886,0.495,0.299,True,True,0.7631,True,False,True
RM-0264,ambiguous,False,0.775,0.725,0.527,0.897,0.403,True,True,0.6982,True,False,True
RM-0265,benign_shared_template,False,0.961,0.46,0.547,0.678,0.159,True,True,0.6464,True,False,True
RM-0266,true_continuation,True,0.936,0.915,0.876,0.585,0.823,True,True,0.8597,False,False,False
RM-0267,ambiguous,False,0.65,0.819,0.632,0.506,0.374,True,True,0.6396,True,False,True
RM-0268,benign_same_domain,False,0.576,0.696,0.584,0.661,0.089,True,False,0.5694,False,False,False
RM-0269,benign_same_domain,False,0.361,0.597,0.553,0.484,0.068,True,False,0.4401,False,False,False
RM-0270,benign_shared_template,False,0.83,0.599,0.56,0.729,0.194,True,True,0.6482,True,False,True
RM-0271,benign_shared_template,False,0.946,0.56,0.344,0.561,0.132,True,True,0.6097,True,False,True
RM-0272,true_continuation,True,0.956,0.811,0.958,0.555,0.628,True,True,0.8326,False,False,False
RM-0273,true_continuation,True,0.996,0.991,0.774,0.98,0.555,True,True,0.9085,False,False,False
RM-0274,benign_shared_template,False,0.955,0.566,0.568,0.684,0.091,True,True,0.6676,True,False,True
RM-0275,ambiguous,False,0.475,0.787,0.384,0.869,0.325,True,False,0.5737,False,False,False
RM-0276,benign_same_domain,False,0.367,0.339,0.168,0.529,0.111,True,False,0.3215,False,False,False
